source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri,categoria
Calliephialtes ferrugineus,parasitoidOf,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip,Mineração de texto
Ceroplastes,preyedUponBy,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip,Mineração de texto
Melittobia chalybii,parasitoidOf,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip,Mineração de texto
Ramedia pauperata,symbiontOf,Camponotus blandus,"Cavalleri, A., Kaminski, L.A. &amp; Mendonça, M.de S., Jr. (2010) Ectoparasitism in <i>Aulacothrips</i> (Thysanoptera: Heterothripidae) revisited: Host diversity on honeydew-producing Hemiptera and description of a new species. <i>Zoologischer Anzeiger</i>, 249(3-4), 209–221. https://doi.org/10.1016/j.jcz.2010.09.002",https://doi.org/10.1016/j.jcz.2010.09.002,https://api.checklistbank.org/dataset/2317/archive.zip,Científica (artigo com DOI)
Guayaquila xiphias,symbiontOf,Camponotus blandus,"Cavalleri, A., Kaminski, L.A. &amp; Mendonça, M.de S., Jr. (2010) Ectoparasitism in <i>Aulacothrips</i> (Thysanoptera: Heterothripidae) revisited: Host diversity on honeydew-producing Hemiptera and description of a new species. <i>Zoologischer Anzeiger</i>, 249(3-4), 209–221. https://doi.org/10.1016/j.jcz.2010.09.002",https://doi.org/10.1016/j.jcz.2010.09.002,https://api.checklistbank.org/dataset/2317/archive.zip,Científica (artigo com DOI)
Enchenopa gracilis,symbiontOf,Camponotus blandus,"Cavalleri, A., Kaminski, L.A. &amp; Mendonça, M.de S., Jr. (2010) Ectoparasitism in <i>Aulacothrips</i> (Thysanoptera: Heterothripidae) revisited: Host diversity on honeydew-producing Hemiptera and description of a new species. <i>Zoologischer Anzeiger</i>, 249(3-4), 209–221. https://doi.org/10.1016/j.jcz.2010.09.002",https://doi.org/10.1016/j.jcz.2010.09.002,https://api.checklistbank.org/dataset/2317/archive.zip,Científica (artigo com DOI)
Homoptera,interactsWith,Ectatomma tuberculatum,https://arctos.database.museum/guid/UTEP:Ento:3141,https://arctos.database.museum/guid/UTEP:Ento:3141,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip,Catálogo institucional
Thisbe irenea,interactsWith,Ectatomma tuberculatum,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Guayaquila gracilicornis,interactsWith,Ectatomma tuberculatum,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Apocephalus paraponerae,hasHost,Ectatomma tuberculatum,http://www.ncbi.nlm.nih.gov/nuccore/7263060,http://www.ncbi.nlm.nih.gov/nuccore/7263060,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip,Outro / não classificado
Acanthaclisis occitanica,preysOn,Solenopsis fugax,"Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2",https://doi.org/10.1206/0003-0082(2007)3587%5B1:TNFODA%5D2.0.CO;2,https://github.com/globalbioticinteractions/trophiCH/archive/9dcb8b2670c4675817c605f5add33cd183d3fb0e.zip,Científica (artigo com DOI)
